category	species	trait	study	gene	human_ortholog	human_symbol
size	pig	average_daily_gain	teng	ENSSSCG00000029558	ENSG00000158008	EXTL1
size	pig	average_daily_gain	teng	ENSSSCG00000003673	ENSG00000085415	SEH1L
size	pig	average_daily_gain	teng	ENSSSCG00000027417	ENSG00000168675	LDLRAD4
size	pig	average_daily_gain	teng	ENSSSCG00000029698	ENSG00000116212	LRRC42
size	pig	average_daily_gain	teng	ENSSSCG00000003862	ENSG00000154222	CC2D1B
size	pig	average_daily_gain	teng	ENSSSCG00000027374	ENSG00000164008	C1orf50
size	pig	average_daily_gain	teng	ENSSSCG00000021130	ENSG00000241370	RPP21
size	pig	average_daily_gain	teng	ENSSSCG00000001341	ENSG00000204525	HLA-C
size	pig	average_daily_gain	teng	ENSSSCG00000038950	ENSG00000204394	VARS1
size	pig	average_daily_gain	teng	ENSSSCG00000039071	ENSG00000213719	CLIC1
size	pig	average_daily_gain	teng	ENSSSCG00000001506	ENSG00000237441	RGL2
size	pig	average_daily_gain	teng	ENSSSCG00000031593	ENSG00000272325	NUDT3
size	pig	average_daily_gain	teng	ENSSSCG00000001725	ENSG00000069122	ADGRF5
size	pig	average_daily_gain	teng	ENSSSCG00000001866	ENSG00000117906	RCN2
size	pig	average_daily_gain	teng	ENSSSCG00000042572	ENSG00000177971	IMP3
size	pig	average_daily_gain	teng	ENSSSCG00000001900	ENSG00000103653	CSK
size	pig	average_daily_gain	teng	ENSSSCG00000001918	ENSG00000156642	NPTN
size	pig	average_daily_gain	teng	ENSSSCG00000023760	ENSG00000176435	CLEC14A
size	pig	average_daily_gain	teng	ENSSSCG00000001930	ENSG00000067225	PKM
size	pig	average_daily_gain	teng	ENSSSCG00000026663	ENSG00000129480	DTD2
size	pig	average_daily_gain	teng	ENSSSCG00000002144	ENSG00000100814	CCNB1IP1
size	pig	average_daily_gain	teng	ENSSSCG00000028663	ENSG00000119707	RBM25
size	pig	average_daily_gain	teng	ENSSSCG00000038231	ENSG00000119688	ABCD4
size	pig	average_daily_gain	teng	ENSSSCG00000036494	ENSG00000133935	ERG28
size	pig	average_daily_gain	teng	ENSSSCG00000002397	ENSG00000009830	POMT2
size	pig	average_daily_gain	teng	ENSSSCG00000022446	ENSG00000091490	SEL1L3
size	pig	average_daily_gain	teng	ENSSSCG00000008987	ENSG00000118816	CCNI
size	pig	average_daily_gain	teng	ENSSSCG00000009029	ENSG00000071205	ARHGAP10
size	pig	average_daily_gain	teng	ENSSSCG00000038042	ENSG00000163319	MRPS18C
size	pig	average_daily_gain	teng	ENSSSCG00000009238	ENSG00000173085	COQ2
size	pig	average_daily_gain	teng	ENSSSCG00000014580	ENSG00000166405	RIC3
size	pig	average_daily_gain	teng	ENSSSCG00000014833	ENSG00000175567	UCP2
size	pig	average_daily_gain	teng	ENSSSCG00000014822	ENSG00000110237	ARHGEF17
size	pig	average_daily_gain	teng	ENSSSCG00000015360	ENSG00000106524	ANKMY2
size	pig	average_daily_gain	teng	ENSSSCG00000015583	ENSG00000143499	SMYD2
size	pig	average_daily_gain	teng	ENSSSCG00000010853	ENSG00000143819	EPHX1
size	pig	average_daily_gain	teng	ENSSSCG00000037431	ENSG00000134375	TIMM17A
size	pig	average_daily_gain	teng	ENSSSCG00000021814	ENSG00000121741	ZMYM2
size	pig	average_daily_gain	teng	ENSSSCG00000009276	ENSG00000132953	XPO4
size	pig	average_daily_gain	teng	ENSSSCG00000044700	ENSG00000187498	COL4A1
size	pig	average_daily_gain	teng	ENSSSCG00000037039	ENSG00000182676	PPP1R27
size	pig	average_daily_gain	teng	ENSSSCG00000049515	ENSG00000169689	CENPX
size	pig	average_daily_gain	teng	ENSSSCG00000035511	ENSG00000173918	C1QTNF1
size	pig	average_daily_gain	teng	ENSSSCG00000017169	ENSG00000129657	SEC14L1
size	pig	average_daily_gain	teng	ENSSSCG00000017196	ENSG00000204316	MRPL38
size	pig	average_daily_gain	teng	ENSSSCG00000036852	ENSG00000182173	TSEN54
size	pig	average_daily_gain	teng	ENSSSCG00000017187	ENSG00000129654	FOXJ1
size	pig	average_daily_gain	teng	ENSSSCG00000031958	ENSG00000180901	KCTD2
size	pig	average_daily_gain	teng	ENSSSCG00000035923	ENSG00000070495	JMJD6
size	pig	average_daily_gain	teng	ENSSSCG00000023423	ENSG00000185262	UBALD2
size	pig	average_daily_gain	teng	ENSSSCG00000017213	ENSG00000189159	JPT1
size	pig	average_daily_gain	teng	ENSSSCG00000017218	ENSG00000109089	CDR2L
size	pig	average_daily_gain	teng	ENSSSCG00000017195	ENSG00000141569	TRIM65
size	pig	average_daily_gain	teng	ENSSSCG00000017211	ENSG00000125447	GGA3
size	pig	average_daily_gain	teng	ENSSSCG00000025507	ENSG00000131469	RPL27
size	pig	average_daily_gain	teng	ENSSSCG00000030167	ENSG00000013306	SLC25A39
size	pig	average_daily_gain	teng	ENSSSCG00000028920	ENSG00000004142	POLDIP2
size	pig	average_daily_gain	teng	ENSSSCG00000028720	ENSG00000167693	NXN
size	pig	average_daily_gain	teng	ENSSSCG00000017817	ENSG00000174231	PRPF8
size	pig	average_daily_gain	teng	ENSSSCG00000028924	ENSG00000178999	AURKB
size	pig	average_daily_gain	teng	ENSSSCG00000017955	ENSG00000129255	MPDU1
size	pig	average_daily_gain	teng	ENSSSCG00000018023	ENSG00000006695	COX10
size	pig	average_daily_gain	teng	ENSSSCG00000028712	ENSG00000171953	ATPAF2
size	pig	average_daily_gain	teng	ENSSSCG00000011683	ENSG00000163710	PCOLCE2
size	pig	average_daily_gain	teng	ENSSSCG00000022952	ENSG00000169251	NMD3
size	pig	average_daily_gain	teng	ENSSSCG00000011806	ENSG00000127241	MASP1
size	pig	average_daily_gain	teng	ENSSSCG00000012019	ENSG00000154646	TMPRSS15
size	pig	average_daily_gain	teng	ENSSSCG00000012037	ENSG00000159086	PAXBP1
size	pig	average_daily_gain	teng	ENSSSCG00000033653	ENSG00000160201	U2AF1
size	pig	average_daily_gain	teng	ENSSSCG00000038081	ENSG00000160216	AGPAT3
size	pig	average_daily_gain	teng	ENSSSCG00000038089	ENSG00000182871	COL18A1
size	pig	average_daily_gain	teng	ENSSSCG00000039012	ENSG00000139433	GLTP
size	pig	average_daily_gain	teng	ENSSSCG00000010039	ENSG00000100191	SLC5A4
size	pig	average_daily_gain	teng	ENSSSCG00000032408	ENSG00000165806	CASP7
size	pig	average_daily_gain	teng	ENSSSCG00000010719	ENSG00000119965	C10orf88
size	pig	average_daily_gain	teng	ENSSSCG00000023865	ENSG00000119965	C10orf88
size	pig	average_daily_gain	teng	ENSSSCG00000035775	ENSG00000074582	BCS1L
size	pig	average_daily_gain	teng	ENSSSCG00000016335	ENSG00000144488	ESPNL
size	pig	average_daily_gain	teng	ENSSSCG00000016793	ENSG00000173545	ZNF622
size	pig	average_daily_gain	teng	ENSSSCG00000016961	ENSG00000134058	CDK7
size	pig	average_daily_gain	teng	ENSSSCG00000016981	ENSG00000113742	CPEB4
size	pig	average_daily_gain	teng	ENSSSCG00000040411	ENSG00000198624	CCDC69
size	pig	average_daily_gain	teng	ENSSSCG00000031474	ENSG00000101213	PTK6
size	pig	average_daily_gain	teng	ENSSSCG00000016464	ENSG00000106144	CASP2
size	pig	average_daily_gain	teng	ENSSSCG00000016701	ENSG00000122592	HOXA7
size	pig	average_daily_gain	teng	ENSSSCG00000016750	ENSG00000106636	YKT6
size	pig	average_daily_gain	teng	ENSSSCG00000048439	ENSG00000006451	RALA
size	pig	average_daily_gain	teng	ENSSSCG00000012905	ENSG00000172663	TMEM134
size	pig	average_daily_gain	teng	ENSSSCG00000032010	ENSG00000023191	RNH1
size	pig	average_daily_gain	teng	ENSSSCG00000038912	ENSG00000142089	IFITM3
size	pig	average_daily_gain	teng	ENSSSCG00000016826	ENSG00000113456	RAD1
size	pig	average_daily_gain	teng	ENSSSCG00000032015	ENSG00000198478	SH3BGRL2
size	pig	average_daily_gain	teng	ENSSSCG00000012969	ENSG00000172500	FIBP
size	pig	average_daily_gain	teng	ENSSSCG00000013873	ENSG00000160113	NR2F6
size	pig	average_daily_gain	teng	ENSSSCG00000013886	ENSG00000179913	B3GNT3
size	pig	average_daily_gain	teng	ENSSSCG00000032265	ENSG00000104964	TLE5
size	pig	average_daily_gain	teng	ENSSSCG00000007565	ENSG00000136295	TTYH3
size	pig	average_daily_gain	teng	ENSSSCG00000020945	ENSG00000183172	SMDT1
size	pig	average_daily_gain	teng	ENSSSCG00000035991	ENSG00000100162	CENPM
size	pig	average_daily_gain	teng	ENSSSCG00000022310	ENSG00000075399	VPS9D1
size	pig	average_daily_gain	teng	ENSSSCG00000002666	ENSG00000135709	KIAA0513
size	pig	average_daily_gain	teng	ENSSSCG00000028097	ENSG00000159592	GPBP1L1
size	pig	average_daily_gain	teng	ENSSSCG00000014834	ENSG00000175564	UCP3
size	pig	average_daily_gain	teng	ENSSSCG00000035199	ENSG00000267060	PTGES3L
size	pig	average_daily_gain	teng	ENSSSCG00000017640	ENSG00000108375	RNF43
size	pig	average_daily_gain	teng	ENSSSCG00000017900	ENSG00000129250	KIF1C
size	pig	average_daily_gain	teng	ENSSSCG00000026761	ENSG00000156261	CCT8
size	pig	average_daily_gain	teng	ENSSSCG00000028707	ENSG00000186575	NF2
size	pig	average_daily_gain	teng	ENSSSCG00000009988	ENSG00000100296	THOC5
size	pig	average_daily_gain	teng	ENSSSCG00000010674	ENSG00000165669	FAM204A
size	pig	average_daily_gain	teng	ENSSSCG00000010737	ENSG00000165660	ABRAXAS2
size	pig	average_daily_gain	teng	ENSSSCG00000039230	ENSG00000144231	POLR2D
size	pig	average_daily_gain	teng	ENSSSCG00000012850	ENSG00000177030	DEAF1
size	pig	average_daily_gain	teng	ENSSSCG00000018538	ENSG00000199785	SNORA52
size	pig	average_daily_gain	teng	ENSSSCG00000004020	ENSG00000198818	SFT2D1
size	pig	average_daily_gain	teng	ENSSSCG00000012890	ENSG00000110719	TCIRG1
size	pig	average_daily_gain	teng	ENSSSCG00000006066	ENSG00000034677	RNF19A
size	pig	average_daily_gain	teng	ENSSSCG00000025326	ENSG00000135185	TMEM243
size	pig	average_daily_gain	teng	ENSSSCG00000005716	ENSG00000130714	POMT1
size	pig	average_daily_gain	teng	ENSSSCG00000000651	ENSG00000256660	CLEC12B
size	pig	average_daily_gain	teng	ENSSSCG00000036933	ENSG00000126368	NR1D1
size	pig	average_daily_gain	teng	ENSSSCG00000039798	ENSG00000018280	SLC11A1
size	pig	average_daily_gain	teng	ENSSSCG00000026964	ENSG00000163482	STK36
size	pig	average_daily_gain	teng	ENSSSCG00000024876	ENSG00000146433	TMEM181
size	pig	average_daily_gain	teng	ENSSSCG00000005623	ENSG00000160408	ST6GALNAC6
size	pig	average_daily_gain	teng	ENSSSCG00000005610	ENSG00000136856	SLC2A8
size	pig	average_daily_gain	teng	ENSSSCG00000005662	ENSG00000198917	SPOUT1
size	pig	average_daily_gain	teng	ENSSSCG00000005666	ENSG00000175283	DOLK
size	pig	average_daily_gain	teng	ENSSSCG00000026425	ENSG00000197859	ADAMTSL2
size	pig	average_daily_gain	teng	ENSSSCG00000012886	ENSG00000171067	C11orf24
size	pig	average_daily_gain	teng	ENSSSCG00000027334	ENSG00000175376	EIF1AD
size	pig	average_daily_gain	teng	ENSSSCG00000013020	ENSG00000168067	MAP4K2
size	pig	average_daily_gain	teng	ENSSSCG00000013022	ENSG00000068976	PYGM
size	pig	average_daily_gain	teng	ENSSSCG00000013042	ENSG00000168071	CCDC88B
size	pig	average_daily_gain	teng	ENSSSCG00000013296	ENSG00000110436	SLC1A2
size	pig	average_daily_gain	teng	ENSSSCG00000013643	ENSG00000129355	CDKN2D
size	pig	average_daily_gain	teng	ENSSSCG00000013498	ENSG00000105246	EBI3
size	pig	average_daily_gain	teng	ENSSSCG00000025675	ENSG00000167658	EEF2
size	pig	average_daily_gain	teng	ENSSSCG00000009244	ENSG00000138674	SEC31A
size	pig	average_daily_gain	teng	ENSSSCG00000009242	ENSG00000189308	LIN54
size	pig	average_daily_gain	teng	ENSSSCG00000009245	ENSG00000145284	SCD5
size	pig	average_daily_gain	teng	ENSSSCG00000005711	ENSG00000126883	NUP214
size	pig	average_daily_gain	teng	ENSSSCG00000031769	ENSG00000085733	CTTN
size	pig	average_daily_gain	teng	ENSSSCG00000035293	ENSG00000167244	IGF2
size	pig	average_daily_gain	teng	ENSSSCG00000012896	ENSG00000167792	NDUFV1
size	pig	average_daily_gain	teng	ENSSSCG00000017525	ENSG00000082641	NFE2L1
size	pig	average_daily_gain	teng	ENSSSCG00000027509	ENSG00000143952	VPS54
size	pig	average_daily_gain	teng	ENSSSCG00000032477	ENSG00000213281	NRAS
size	pig	average_daily_gain	teng	ENSSSCG00000002478	ENSG00000165953	SERPINA12
size	pig	average_daily_gain	teng	ENSSSCG00000002494	ENSG00000165959	CLMN
size	pig	average_daily_gain	teng	ENSSSCG00000015938	ENSG00000138385	SSB
size	pig	average_daily_gain	teng	ENSSSCG00000012910	ENSG00000175634	RPS6KB2
size	pig	average_daily_gain	teng	ENSSSCG00000013018	ENSG00000171219	CDC42BPG
size	pig	average_daily_gain	teng	ENSSSCG00000026744	ENSG00000180776	ZDHHC20
size	pig	average_daily_gain	teng	ENSSSCG00000023169	ENSG00000154975	CA10
size	pig	days_until_size	teng	ENSSSCG00000023320	ENSG00000021461	CYP3A43
size	pig	days_until_size	teng	ENSSSCG00000005683	ENSG00000136816	TOR1B
size	pig	days_until_size	teng	ENSSSCG00000029029	ENSG00000178665	ZNF713
size	pig	days_until_size	teng	ENSSSCG00000006738	ENSG00000116815	CD58
size	pig	days_until_size	teng	ENSSSCG00000023478	ENSG00000076351	SLC46A1
size	pig	days_until_size	teng	ENSSSCG00000014434	ENSG00000127743	IL17B
size	pig	days_until_size	teng	ENSSSCG00000027288	ENSG00000164535	DAGLB
size	pig	days_until_size	teng	ENSSSCG00000033873	ENSG00000155275	TRMT44
size	pig	days_until_size	teng	ENSSSCG00000036274	ENSG00000244474	UGT1A4
size	pig	days_until_size	teng	ENSSSCG00000005508	ENSG00000119402	FBXW2
size	pig	days_until_size	teng	ENSSSCG00000008590	ENSG00000205639	MFSD2B
size	pig	days_until_size	teng	ENSSSCG00000002983	ENSG00000105205	CLC
size	pig	days_until_size	teng	ENSSSCG00000015540	ENSG00000153029	MR1
size	pig	days_until_size	teng	ENSSSCG00000024621	ENSG00000114166	KAT2B
size	pig	days_until_size	teng	ENSSSCG00000017953	ENSG00000129245	FXR2
size	pig	days_until_size	teng	ENSSSCG00000013757	ENSG00000104979	C19orf53
size	pig	days_until_size	teng	ENSSSCG00000013733	ENSG00000039987	BEST2
size	pig	days_until_size	teng	ENSSSCG00000031733	ENSG00000131016	AKAP12
size	pig	days_until_size	teng	ENSSSCG00000004926	ENSG00000090470	PDCD7
size	pig	days_until_size	teng	ENSSSCG00000004177	ENSG00000112306	RPS12
size	pig	days_until_size	teng	ENSSSCG00000004048	ENSG00000120438	TCP1
size	pig	days_until_size	teng	ENSSSCG00000005699	ENSG00000148357	HMCN2
size	pig	days_until_size	teng	ENSSSCG00000030426	ENSG00000136819	C9orf78
size	pig	days_until_size	teng	ENSSSCG00000038459	ENSG00000148291	SURF2
size	pig	days_until_size	teng	ENSSSCG00000005719	ENSG00000107263	RAPGEF1
size	pig	days_until_size	teng	ENSSSCG00000013148	ENSG00000156689	GLYATL2
size	pig	days_until_size	teng	ENSSSCG00000013512	ENSG00000167676	PLIN4
size	pig	days_until_size	teng	ENSSSCG00000024341	ENSG00000136878	USP20
size	pig	days_until_size	teng	ENSSSCG00000005375	ENSG00000106789	CORO2A
size	pig	days_until_size	teng	ENSSSCG00000022866	ENSG00000162231	NXF1
size	pig	days_until_size	teng	ENSSSCG00000009364	ENSG00000150893	FREM2
size	pig	days_until_size	teng	ENSSSCG00000010175	ENSG00000116906	GNPAT
size	pig	days_until_size	teng	ENSSSCG00000021862	ENSG00000125384	PTGER2
size	pig	days_until_size	teng	ENSSSCG00000005689	ENSG00000187239	FNBP1
size	pig	days_until_size	teng	ENSSSCG00000005678	ENSG00000148335	NTMT1
size	pig	days_until_size	teng	ENSSSCG00000012988	ENSG00000173442	EHBP1L1
size	pig	days_until_size	teng	ENSSSCG00000012999	ENSG00000014216	CAPN1
size	pig	days_until_size	teng	ENSSSCG00000021620	ENSG00000168439	STIP1
size	pig	days_until_size	teng	ENSSSCG00000038370	ENSG00000204922	UQCC3
size	pig	days_until_size	teng	ENSSSCG00000027847	ENSG00000214756	CSKMT
size	pig	days_until_size	teng	ENSSSCG00000013107	ENSG00000110107	PRPF19
size	pig	days_until_size	teng	ENSSSCG00000013102	ENSG00000166927	MS4A7
size	pig	days_until_size	teng	ENSSSCG00000034506	ENSG00000149534	MS4A2
size	pig	days_until_size	teng	ENSSSCG00000037605	ENSG00000164713	BRI3
size	pig	days_until_size	teng	ENSSSCG00000000063	ENSG00000100413	POLR3H
size	pig	days_until_size	teng	ENSSSCG00000038950	ENSG00000204394	VARS1
size	pig	days_until_size	teng	ENSSSCG00000039071	ENSG00000213719	CLIC1
size	pig	days_until_size	teng	ENSSSCG00000009230	ENSG00000163625	WDFY3
size	pig	days_until_size	teng	ENSSSCG00000009545	ENSG00000134871	COL4A2
size	pig	days_until_size	teng	ENSSSCG00000030167	ENSG00000013306	SLC25A39
size	pig	days_until_size	teng	ENSSSCG00000017924	ENSG00000141456	PELP1
size	pig	days_until_size	teng	ENSSSCG00000017935	ENSG00000175826	CTDNEP1
size	pig	days_until_size	teng	ENSSSCG00000038726	ENSG00000108961	RANGRF
size	pig	days_until_size	teng	ENSSSCG00000037530	ENSG00000138162	TACC2
size	pig	days_until_size	teng	ENSSSCG00000035676	ENSG00000145907	G3BP1
size	pig	days_until_size	teng	ENSSSCG00000007117	ENSG00000125812	GZF1
size	pig	days_until_size	teng	ENSSSCG00000016578	ENSG00000128591	FLNC
size	pig	days_until_size	teng	ENSSSCG00000004952	ENSG00000166949	SMAD3
size	pig	days_until_size	teng	ENSSSCG00000020823	ENSG00000168000	BSCL2
size	pig	days_until_size	teng	ENSSSCG00000038776	ENSG00000198356	GET3
size	pig	days_until_size	teng	ENSSSCG00000013632	ENSG00000214212	C19orf38
size	pig	days_until_size	teng	ENSSSCG00000013589	ENSG00000104976	SNAPC2
size	pig	days_until_size	teng	ENSSSCG00000014247	ENSG00000164904	ALDH7A1
size	pig	days_until_size	teng	ENSSSCG00000014427	ENSG00000145868	FBXO38
size	pig	days_until_size	teng	ENSSSCG00000021427	ENSG00000132912	DCTN4
size	pig	days_until_size	teng	ENSSSCG00000007803	ENSG00000178952	TUFM
size	pig	days_until_size	teng	ENSSSCG00000007795	ENSG00000179958	DCTPP1
size	pig	days_until_size	teng	ENSSSCG00000049630	ENSG00000155792	DEPTOR
size	pig	days_until_size	teng	ENSSSCG00000037821	ENSG00000143248	RGS5
size	pig	days_until_size	teng	ENSSSCG00000006925	ENSG00000137944	KYAT3
size	pig	days_until_size	teng	ENSSSCG00000003809	ENSG00000162434	JAK1
size	pig	days_until_size	teng	ENSSSCG00000001723	ENSG00000146070	PLA2G7
size	pig	days_until_size	teng	ENSSSCG00000001918	ENSG00000156642	NPTN
size	pig	days_until_size	teng	ENSSSCG00000009238	ENSG00000173085	COQ2
size	pig	days_until_size	teng	ENSSSCG00000010853	ENSG00000143819	EPHX1
size	pig	days_until_size	teng	ENSSSCG00000031531	ENSG00000182612	TSPAN10
size	pig	days_until_size	teng	ENSSSCG00000036852	ENSG00000182173	TSEN54
size	pig	days_until_size	teng	ENSSSCG00000028920	ENSG00000004142	POLDIP2
size	pig	days_until_size	teng	ENSSSCG00000022952	ENSG00000169251	NMD3
size	pig	days_until_size	teng	ENSSSCG00000010039	ENSG00000100191	SLC5A4
size	pig	days_until_size	teng	ENSSSCG00000032408	ENSG00000165806	CASP7
size	pig	days_until_size	teng	ENSSSCG00000015883	ENSG00000136536	MARCHF7
size	pig	days_until_size	teng	ENSSSCG00000032015	ENSG00000198478	SH3BGRL2
size	pig	days_until_size	teng	ENSSSCG00000005713	ENSG00000160539	PLPP7
size	pig	days_until_size	teng	ENSSSCG00000013524	ENSG00000174917	MICOS13
size	pig	days_until_size	teng	ENSSSCG00000027307	ENSG00000174886	NDUFA11
size	pig	days_until_size	teng	ENSSSCG00000013511	ENSG00000167674	HDGFL2
size	pig	days_until_size	teng	ENSSSCG00000013436	ENSG00000127540	UQCR11
size	pig	days_until_size	teng	ENSSSCG00000007743	ENSG00000106153	CHCHD2
size	pig	days_until_size	teng	ENSSSCG00000024665	ENSG00000171853	TRAPPC12
size	pig	days_until_size	teng	ENSSSCG00000006544	ENSG00000160714	UBE2Q1
size	pig	days_until_size	teng	ENSSSCG00000028606	ENSG00000160685	ZBTB7B
size	pig	days_until_size	teng	ENSSSCG00000035991	ENSG00000100162	CENPM
size	pig	days_until_size	teng	ENSSSCG00000001233	ENSG00000234127	TRIM26
size	pig	days_until_size	teng	ENSSSCG00000001341	ENSG00000204525	HLA-C
size	pig	days_until_size	teng	ENSSSCG00000022725	ENSG00000137312	FLOT1
size	pig	days_until_size	teng	ENSSSCG00000001667	ENSG00000171467	ZNF318
size	pig	days_until_size	teng	ENSSSCG00000014822	ENSG00000110237	ARHGEF17
size	pig	days_until_size	teng	ENSSSCG00000009276	ENSG00000132953	XPO4
size	pig	days_until_size	teng	ENSSSCG00000033148	ENSG00000262814	MRPL12
size	pig	days_until_size	teng	ENSSSCG00000035511	ENSG00000173918	C1QTNF1
size	pig	days_until_size	teng	ENSSSCG00000017640	ENSG00000108375	RNF43
size	pig	days_until_size	teng	ENSSSCG00000027550	ENSG00000187091	PLCD1
size	pig	days_until_size	teng	ENSSSCG00000039012	ENSG00000139433	GLTP
size	pig	days_until_size	teng	ENSSSCG00000010579	ENSG00000107862	GBF1
size	pig	days_until_size	teng	ENSSSCG00000036938	ENSG00000144579	CTDSP1
size	pig	days_until_size	teng	ENSSSCG00000005027	ENSG00000139926	FRMD6
size	pig	days_until_size	teng	ENSSSCG00000005640	ENSG00000148337	CIZ1
size	pig	days_until_size	teng	ENSSSCG00000005652	ENSG00000119392	GLE1
size	pig	days_until_size	teng	ENSSSCG00000038868	ENSG00000148358	GPR107
size	pig	days_until_size	teng	ENSSSCG00000005716	ENSG00000130714	POMT1
size	pig	days_until_size	teng	ENSSSCG00000012884	ENSG00000110075	PPP6R3
size	pig	days_until_size	teng	ENSSSCG00000000651	ENSG00000256660	CLEC12B
size	pig	days_until_size	teng	ENSSSCG00000005620	ENSG00000095370	SH2D3C
size	pig	days_until_size	teng	ENSSSCG00000005628	ENSG00000136840	ST6GALNAC4
size	pig	days_until_size	teng	ENSSSCG00000013643	ENSG00000129355	CDKN2D
size	pig	days_until_size	teng	ENSSSCG00000024876	ENSG00000146433	TMEM181
size	pig	days_until_size	teng	ENSSSCG00000005710	ENSG00000050555	LAMC3
size	pig	days_until_size	teng	ENSSSCG00000031941	ENSG00000148297	MED22
size	pig	obesity_index	teng	ENSSSCG00000021181	ENSG00000172893	DHCR7
size	pig	obesity_index	teng	ENSSSCG00000012878	ENSG00000132740	IGHMBP2
size	pig	obesity_index	teng	ENSSSCG00000012940	ENSG00000174684	B4GAT1
size	pig	obesity_index	teng	ENSSSCG00000012926	ENSG00000173599	PC
size	pig	obesity_index	teng	ENSSSCG00000012927	ENSG00000173653	RCE1
size	pig	obesity_index	teng	ENSSSCG00000012909	ENSG00000213402	PTPRCAP
size	pig	obesity_index	teng	ENSSSCG00000012902	ENSG00000167797	CDK2AP2
size	pig	obesity_index	teng	ENSSSCG00000012914	ENSG00000172613	RAD9A
size	pig	obesity_index	teng	ENSSSCG00000039243	ENSG00000110651	CD81
size	pig	obesity_index	teng	ENSSSCG00000012920	ENSG00000172725	CORO1B
size	pig	obesity_index	teng	ENSSSCG00000012884	ENSG00000110075	PPP6R3
size	pig	obesity_index	teng	ENSSSCG00000012896	ENSG00000167792	NDUFV1
size	pig	obesity_index	teng	ENSSSCG00000031459	ENSG00000110066	KMT5B
size	pig	obesity_index	teng	ENSSSCG00000012918	ENSG00000173020	GRK2
size	pig	obesity_index	teng	ENSSSCG00000012915	ENSG00000175505	CLCF1
size	pig	obesity_index	teng	ENSSSCG00000038918	ENSG00000174080	CTSF
size	pig	obesity_index	teng	ENSSSCG00000031144	ENSG00000122679	RAMP3
size	pig	obesity_index	teng	ENSSSCG00000021597	ENSG00000181649	PHLDA2
size	pig	obesity_index	teng	ENSSSCG00000037900	ENSG00000110092	CCND1
size	pig	obesity_index	teng	ENSSSCG00000026349	ENSG00000132746	ALDH3B2
size	pig	obesity_index	teng	ENSSSCG00000012890	ENSG00000110719	TCIRG1
size	pig	obesity_index	teng	ENSSSCG00000040793	ENSG00000117984	CTSD
size	pig	obesity_index	teng	ENSSSCG00000012880	ENSG00000110090	CPT1A
size	pig	obesity_index	teng	ENSSSCG00000012886	ENSG00000171067	C11orf24
size	pig	obesity_index	teng	ENSSSCG00000037455	ENSG00000110717	NDUFS8
size	pig	obesity_index	teng	ENSSSCG00000012885	ENSG00000162337	LRP5
size	pig	obesity_index	teng	ENSSSCG00000012889	ENSG00000110721	CHKA
size	pig	obesity_index	teng	ENSSSCG00000012965	ENSG00000175550	DRAP1
size	pig	obesity_index	teng	ENSSSCG00000012957	ENSG00000087365	SF3B2
size	pig	obesity_index	teng	ENSSSCG00000028015	ENSG00000175229	GAL3ST3
size	pig	obesity_index	teng	ENSSSCG00000015504	ENSG00000116161	CACYBP
size	pig	obesity_index	teng	ENSSSCG00000015509	ENSG00000143207	COP1
size	pig	obesity_index	teng	ENSSSCG00000032911	ENSG00000184545	DUSP8
size	pig	obesity_index	teng	ENSSSCG00000012910	ENSG00000175634	RPS6KB2
size	pig	obesity_index	teng	ENSSSCG00000012917	ENSG00000172932	ANKRD13D
size	pig	obesity_index	teng	ENSSSCG00000016775	ENSG00000196453	ZNF777
size	human	trunk_mass_fat	pividori	ENSG00000162613	ENSG00000162613	FUBP1
size	human	trunk_mass_fat	pividori	ENSG00000246375	ENSG00000246375	PPM1K-DT
size	human	trunk_mass_fat	pividori	ENSG00000122515	ENSG00000122515	ZMIZ2
size	human	trunk_mass_fat	pividori	ENSG00000214063	ENSG00000214063	TSPAN4
size	human	trunk_mass_fat	pividori	ENSG00000108785	ENSG00000108785	NA
size	human	trunk_mass_fat	pividori	ENSG00000130517	ENSG00000130517	PGPEP1
size	human	trunk_mass_fat	pividori	ENSG00000168995	ENSG00000168995	SIGLEC7
size	human	trunk_mass_fat	pividori	ENSG00000129450	ENSG00000129450	SIGLEC9
size	human	trunk_mass_fat	pividori	ENSG00000242628	ENSG00000242628	NA
size	human	trunk_mass_fat	pividori	ENSG00000213626	ENSG00000213626	LBH
size	human	trunk_mass_fat	pividori	ENSG00000178950	ENSG00000178950	GAK
size	human	trunk_mass_fat	pividori	ENSG00000237742	ENSG00000237742	HEY2-AS1
size	human	trunk_mass_fat	pividori	ENSG00000112319	ENSG00000112319	EYA4
size	human	trunk_mass_fat	pividori	ENSG00000085721	ENSG00000085721	RRN3
size	human	trunk_mass_fat	pividori	ENSG00000260075	ENSG00000260075	NSFP1
size	human	trunk_mass_fat	pividori	ENSG00000185829	ENSG00000185829	ARL17A
size	human	trunk_mass_fat	pividori	ENSG00000260230	ENSG00000260230	FRRS1L
size	human	trunk_mass_fat	pividori	ENSG00000230676	ENSG00000230676	NA
size	human	trunk_mass_fat	pividori	ENSG00000170092	ENSG00000170092	SPDYE5
size	human	trunk_mass_fat	pividori	ENSG00000204682	ENSG00000204682	MIR1915HG
size	human	trunk_mass_fat	pividori	ENSG00000225302	ENSG00000225302	NA
size	human	trunk_mass_fat	pividori	ENSG00000259430	ENSG00000259430	NA
